,Observed,SRC-IP,DST-IP,SRC-PORT,DST-PORT,FRAME-TYPE,PROTOCOL,SRC-COUNTRY,DST-COUNTRY,DAY,WK-END,NIGHT,AVG-PCK
0,1304,192.168.1.3,239.255.255.250,-1.0,1900,1,-2.0,5,8,0,1,0,0.1
1,1053,192.168.1.3,173.194.68.189,-1.0,443,1,-2.0,5,1,0,1,0,0.06
2,1001,192.168.1.3,172.217.197.189,-1.0,443,1,-2.0,5,7,0,1,0,0.06
3,712,192.168.1.5,34.216.198.143,-1.0,443,1,-1.0,5,1,0,1,0,0.06
4,585,34.216.198.143,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,0.09
5,578,192.168.1.3,162.125.19.131,-1.0,443,1,-1.0,5,1,0,1,0,12.54
6,559,192.168.1.5,52.41.252.192,-1.0,443,1,-1.0,5,1,0,1,0,0.1
7,543,192.168.1.5,44.237.173.75,-1.0,443,1,-1.0,5,1,0,1,0,0.07
8,506,192.168.1.5,52.42.151.74,-1.0,443,1,-1.0,5,1,0,1,0,0.08
9,447,52.41.252.192,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,1.42
10,430,44.237.173.75,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,0.12
11,412,192.168.1.7,192.168.1.3,80,-1.0,1,-1.0,5,7,0,1,0,0.1
12,408,192.168.1.5,34.210.121.31,-1.0,443,1,-1.0,5,1,0,1,0,0.1
13,401,52.42.151.74,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,0.13
14,397,192.168.1.3,104.26.15.86,-1.0,443,1,-1.0,5,1,0,1,0,0.1
15,378,192.168.1.5,192.168.1.1,-1.0,53,1,-2.0,5,7,0,1,0,0.22
16,374,192.168.1.1,192.168.1.5,53,-1.0,1,-2.0,5,7,0,1,0,0.23
17,353,192.168.1.3,52.25.57.149,-1.0,1194,1,-2.0,5,1,0,1,0,0.19
18,338,192.168.1.5,44.238.41.205,-1.0,443,1,-1.0,5,1,0,1,0,0.12
19,330,34.210.121.31,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,0.16
20,269,44.238.41.205,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,0.19
21,259,192.168.1.3,192.168.1.7,-1.0,80,1,-1.0,5,7,0,1,0,0.16
22,203,192.168.1.3,192.168.1.1,-1.0,53,1,-2.0,5,7,0,1,0,0.32
23,180,192.168.1.36,192.168.1.31,,,2,,5,7,0,1,0,0.0
24,177,192.168.1.3,162.125.19.130,-1.0,443,1,-1.0,5,1,0,1,0,0.23
25,173,192.168.1.3,72.52.169.62,-1.0,995,1,-1.0,5,1,0,1,0,0.23
26,170,192.168.1.3,64.233.177.189,-1.0,443,1,-2.0,5,1,0,1,0,0.36
27,140,192.168.1.3,52.177.165.30,-1.0,443,1,-1.0,5,1,0,1,0,0.29
28,124,192.168.1.3,52.177.165.30,24389,443,1,-1.0,5,1,0,1,0,0.33
29,119,192.168.1.3,192.168.1.255,17500,17500,1,-3.0,5,7,0,1,0,2.47
30,118,192.168.1.16,255.255.255.255,17500,17500,1,-3.0,5,9,0,1,0,2.49
31,118,192.168.1.16,192.168.1.255,17500,17500,1,-3.0,5,7,0,1,0,2.49
32,116,192.168.1.3,108.177.122.94,-1.0,443,1,-2.0,5,1,0,1,0,0.53
33,106,192.168.1.3,216.58.194.238,-1.0,443,1,-2.0,5,1,0,1,0,0.58
34,103,192.168.1.3,64.233.177.102,-1.0,443,1,-2.0,5,1,0,1,0,0.39
35,96,192.168.1.3,192.168.1.255,-1.0,22936,1,-3.0,5,7,0,1,0,0.63
36,92,192.168.1.5,192.168.1.1,,,2,,5,7,0,1,0,0.0
37,92,192.168.1.1,192.168.1.5,,,2,,5,7,0,1,0,0.0
38,90,192.168.1.1,239.255.255.250,-1.0,1900,1,-2.0,5,8,0,1,0,5.95
39,83,192.168.1.3,173.194.219.188,25657,5228,1,-1.0,5,1,0,1,0,0.5
40,78,192.168.1.3,162.125.6.19,-1.0,443,1,-1.0,5,1,0,1,0,0.52
41,75,192.168.1.5,18.236.149.136,-1.0,80,1,-1.0,5,1,0,1,0,0.7
42,72,192.168.1.3,172.217.10.174,-1.0,443,1,-2.0,5,7,0,1,0,0.58
43,63,192.168.1.3,162.125.6.13,-1.0,443,1,-1.0,5,1,0,1,0,0.65
44,63,18.236.149.136,192.168.1.5,80,-1.0,1,-1.0,1,7,0,1,0,0.84
45,59,192.168.1.3,64.233.185.94,-1.0,443,1,-2.0,5,1,0,1,0,1.05
46,54,192.168.1.3,162.125.6.17,-1.0,443,1,-1.0,5,1,0,1,0,0.77
47,52,192.168.1.3,52.143.84.45,-1.0,443,1,-1.0,5,1,0,1,0,0.79
48,51,192.168.1.3,204.79.197.219,-1.0,443,1,-1.0,5,1,0,1,0,0.82
49,51,192.168.1.3,52.114.77.33,-1.0,443,1,-1.0,5,2,0,1,0,0.8
50,50,192.168.1.3,52.167.249.196,-1.0,443,1,-1.0,5,1,0,1,0,0.82
51,48,192.168.1.3,142.250.105.94,-1.0,443,1,-2.0,5,1,0,1,0,1.3
52,47,192.168.1.3,67.227.186.229,-1.0,80,1,-1.0,5,1,0,1,0,0.87
53,47,192.168.1.3,74.125.21.83,-1.0,443,1,-1.0,5,1,0,1,0,0.87
54,45,192.168.1.5,52.46.155.182,-1.0,443,1,-1.0,5,1,0,1,0,2.34
55,45,192.168.1.16,255.255.255.255,-1.0,22936,1,-3.0,5,9,0,1,0,1.36
56,44,192.168.1.5,95.173.136.168,-1.0,80,1,-1.0,5,3,0,1,0,1.21
57,44,192.168.1.3,162.125.19.9,-1.0,443,1,-1.0,5,1,0,1,0,3.99
58,42,192.168.1.3,239.255.255.250,-1.0,3702,1,-2.0,5,8,0,1,0,16.69
59,41,95.173.136.168,192.168.1.5,80,-1.0,1,-1.0,3,7,0,1,0,1.3
60,39,192.168.1.3,142.250.9.94,-1.0,443,1,-2.0,5,1,0,1,0,1.61
61,37,192.168.1.3,142.250.9.83,-1.0,443,1,-1.0,5,1,0,1,0,1.11
62,35,192.168.1.3,74.125.21.18,-1.0,443,1,-1.0,5,1,0,1,0,1.18
63,34,52.46.155.182,192.168.1.5,443,-1.0,1,-1.0,1,7,0,1,0,17.32
64,34,192.168.1.3,52.239.184.42,-1.0,443,1,-1.0,5,1,0,1,0,1.32
65,32,192.168.1.3,64.233.177.113,-1.0,443,1,-2.0,5,1,0,1,0,1.97
66,31,192.168.1.3,13.68.247.210,-1.0,443,1,-1.0,5,1,0,1,0,1.4
67,31,192.168.1.3,142.250.9.95,-1.0,443,1,-2.0,5,1,0,1,0,1.37
68,31,192.168.1.3,64.233.177.95,-1.0,443,1,-2.0,5,1,0,1,0,2.04
69,31,192.168.1.3,74.125.21.95,-1.0,443,1,-2.0,5,1,0,1,0,1.33
70,30,192.168.1.3,64.233.185.113,-1.0,443,1,-2.0,5,1,0,1,0,2.11
71,30,192.168.1.3,172.217.215.94,-1.0,443,1,-2.0,5,7,0,1,0,2.11
72,29,192.168.1.3,64.233.185.95,-1.0,443,1,-2.0,5,1,0,1,0,2.18
